Energy (keV),Weight
16,0.0079141
17,0.0086487
18,0.0093468
19,0.0099985
20,0.0106057
21,0.011173
22,0.011684
23,0.0121452
24,0.012554
25,0.0129135
26,0.0132302
27,0.0134965
28,0.0137162
29,0.0138937
30,0.0140284
31,0.0141249
32,0.0141919
33,0.0142238
34,0.0142238
35,0.0141959
36,0.0141444
37,0.0140712
38,0.0139789
39,0.0138687
40,0.0137421
41,0.0136029
42,0.0134519
43,0.01329
44,0.0131189
45,0.0129403
46,0.0127554
47,0.0125656
48,0.0123721
49,0.0121755
50,0.0119762
51,0.0117749
52,0.0115726
53,0.0113696
54,0.0111665
55,0.0109638
56,0.0107621
57,0.010562
58,0.0103633
59,0.0892145
60,0.009971
61,0.0097777
62,0.0095866
63,0.0093978
64,0.0092116
65,0.0090279
66,0.0088471
67,0.0086693
68,0.0425348
69,0.0083255
70,0.0060717
71,0.0060028
72,0.0059321
73,0.005862
74,0.0057936
75,0.0057202
76,0.0056452
77,0.0055691
78,0.0054936
79,0.0054178
80,0.005341
81,0.0052634
82,0.0051851
83,0.0051061
84,0.0050265
85,0.0049465
86,0.0048661
87,0.0047852
88,0.004704
89,0.0046227
90,0.0045414
91,0.0044599
92,0.0043786
93,0.0042973
94,0.0042162
95,0.0041352
96,0.0040545
97,0.003974
98,0.0038939
99,0.0038144
100,0.0037352
101,0.0036563
102,0.0035779
103,0.0034998
104,0.0034222
105,0.0033451
106,0.0032684
107,0.0031923
108,0.0031166
109,0.0030415
110,0.002967
111,0.002893
112,0.0028196
113,0.0027467
114,0.0026745
115,0.0026028
116,0.0025318
117,0.0024614
118,0.0023915
119,0.0023223
120,0.0022537
121,0.0021858
122,0.0021185
123,0.0020517
124,0.0019857
125,0.0019202
126,0.0018554
127,0.0017912
128,0.0017276
129,0.0016647
130,0.0016023
131,0.0015406
132,0.0014795
133,0.001419
134,0.0013591
135,0.0012998
136,0.0012411
137,0.001183
138,0.0011255
139,0.0010686
140,0.0010123
141,0.0009565
142,0.0009013
143,0.0008467
144,0.0007927
145,0.0007392
146,0.0006862
147,0.0006338
148,0.0005819
149,0.0005306
150,0.0004798
151,0.0004296
152,0.0003798
153,0.0003306
154,0.0002819
155,0.0002337
156,0.000186
157,0.0001387
158,0.000092
159,0.0000458
160,0